File Version,BWSpec4.11_1,,,,,,,,,
Run Name,,,,,,,,,,
Product Name,,,,,,,,,,
Batch No,,,,,,,,,,
Lot No,,,,,,,,,,
Sample Suppler,,,,,,,,,,
Sample Notes,,,,,,,,,,
Date,26-04-2022 17:59,,,,,,,,,
title,ZAFB,,,,,,,,,
model,BRC112P-V,,,,,,,,,
c code,ZAFB,,,,,,,,,
70,348.68,28679.37,-28679.37,0,65535,1,1,0,0,0
71,349.12,28643.32,-28643.32,0,65535,0,0,0,0,0
72,349.56,28607.36,-28607.36,0,65535,13,13,0,0,0
73,350,28571.5,-28571.5,0,65535,0,0,0,0,0
74,350.44,28535.73,-28535.73,0,65535,0,0,0,0,0
75,350.88,28500.06,-28500.06,0,65535,0,0,0,0,0
76,351.32,28464.48,-28464.48,0,65535,0,0,0,0,0
77,351.75,28428.99,-28428.99,0,65535,0,0,0,0,0
78,352.19,28393.6,-28393.6,0,65535,35,35,0,0,0
79,352.63,28358.3,-28358.3,0,65535,0,0,0,0,0
80,353.07,28323.1,-28323.1,0,65535,1,1,0,0,0
81,353.51,28287.99,-28287.99,0,65535,17,17,0,0,0
82,353.95,28252.97,-28252.97,0,65535,0,0,0,0,0
83,354.38,28218.04,-28218.04,0,65535,0,0,0,0,0
84,354.82,28183.2,-28183.2,0,65535,0,0,0,0,0
85,355.26,28148.46,-28148.46,0,65535,0,0,0,0,0
86,355.7,28113.81,-28113.81,0,65535,0,0,0,0,0
87,356.13,28079.24,-28079.24,0,65535,0,0,0,0,0
88,356.57,28044.77,-28044.77,0,65535,1,1,0,0,0
89,357.01,28010.38,-28010.38,0,65535,0,0,0,0,0
90,357.45,27976.09,-27976.09,0,65535,0,0,0,0,0
91,357.89,27941.88,-27941.88,0,65535,0,0,0,0,0
92,358.32,27907.77,-27907.77,0,65535,1,1,0,0,0
93,358.76,27873.74,-27873.74,0,65535,0,0,0,0,0
94,359.2,27839.8,-27839.8,0,65535,0,0,0,0,0
95,359.64,27805.95,-27805.95,0,65535,0,0,0,0,0
96,360.07,27772.18,-27772.18,0,65535,23,23,0,0,0
97,360.51,27738.5,-27738.5,0,65535,0,0,0,0,0
98,360.95,27704.91,-27704.91,0,65535,1,1,0,0,0
99,361.38,27671.41,-27671.41,0,65535,0,0,0,0,0
100,361.82,27637.99,-27637.99,0,65535,5,5,0,0,0
101,362.26,27604.66,-27604.66,0,65535,19,19,0,0,0
102,362.69,27571.41,-27571.41,0,65535,0,0,0,0,0
103,363.13,27538.25,-27538.25,0,65535,59,59,0,0,0
104,363.57,27505.17,-27505.17,0,65535,0,0,0,0,0
105,364,27472.17,-27472.17,0,65535,0,0,0,0,0
106,364.44,27439.26,-27439.26,0,65535,0,0,0,0,0
107,364.88,27406.44,-27406.44,0,65535,29,29,0,0,0
108,365.31,27373.7,-27373.7,0,65535,0,0,0,0,0
109,365.75,27341.04,-27341.04,0,65535,0,0,0,0,0
110,366.19,27308.46,-27308.46,0,65535,0,0,0,0,0
111,366.62,27275.97,-27275.97,0,65535,7,7,0,0,0
112,367.06,27243.56,-27243.56,0,65535,0,0,0,0,0
113,367.5,27211.23,-27211.23,0,65535,0,0,0,0,0
114,367.93,27178.98,-27178.98,0,65535,0,0,0,0,0
115,368.37,27146.81,-27146.81,0,65535,0,0,0,0,0
116,368.8,27114.73,-27114.73,0,65535,51,51,0,0,0
117,369.24,27082.72,-27082.72,0,65535,45,45,0,0,0
118,369.67,27050.79,-27050.79,0,65535,0,0,0,0,0
119,370.11,27018.95,-27018.95,0,65535,0,0,0,0,0
120,370.55,26987.19,-26987.19,0,65535,37,37,0,0,0
121,370.98,26955.5,-26955.5,0,65535,0,0,0,0,0
122,371.42,26923.89,-26923.89,0,65535,0,0,0,0,0
123,371.85,26892.37,-26892.37,0,65535,0,0,0,0,0
124,372.29,26860.92,-26860.92,0,65535,0,0,0,0,0
125,372.72,26829.55,-26829.55,0,65535,0,0,0,0,0
126,373.16,26798.25,-26798.25,0,65535,0,0,0,0,0
127,373.59,26767.04,-26767.04,0,65535,0,0,0,0,0
128,374.03,26735.9,-26735.9,0,65535,0,0,0,0,0
129,374.46,26704.84,-26704.84,0,65535,9,9,0,0,0
130,374.9,26673.86,-26673.86,0,65535,1,1,0,0,0
131,375.33,26642.95,-26642.95,0,65535,27,27,0,0,0
132,375.77,26612.12,-26612.12,0,65535,0,0,0,0,0
133,376.2,26581.36,-26581.36,0,65535,43,43,0,0,0
134,376.64,26550.68,-26550.68,0,65535,0,0,0,0,0
135,377.07,26520.08,-26520.08,0,65535,0,0,0,0,0
136,377.51,26489.55,-26489.55,0,65535,17,17,0,0,0
137,377.94,26459.1,-26459.1,0,65535,0,0,0,0,0
138,378.38,26428.72,-26428.72,0,65535,0,0,0,0,0
139,378.81,26398.42,-26398.42,0,65535,0,0,0,0,0
140,379.24,26368.18,-26368.18,0,65535,0,0,0,0,0
141,379.68,26338.03,-26338.03,0,65535,0,0,0,0,0
142,380.11,26307.95,-26307.95,0,65535,0,0,0,0,0
143,380.55,26277.94,-26277.94,0,65535,0,0,0,0,0
144,380.98,26248,-26248,0,65535,0,0,0,0,0
145,381.42,26218.13,-26218.13,0,65535,0,0,0,0,0
146,381.85,26188.34,-26188.34,0,65535,0,0,0,0,0
147,382.28,26158.62,-26158.62,0,65535,1,1,0,0,0
148,382.72,26128.98,-26128.98,0,65535,25,25,0,0,0
149,383.15,26099.4,-26099.4,0,65535,0,0,0,0,0
150,383.58,26069.9,-26069.9,0,65535,0,0,0,0,0
151,384.02,26040.46,-26040.46,0,65535,1,1,0,0,0
152,384.45,26011.1,-26011.1,0,65535,0,0,0,0,0
153,384.88,25981.81,-25981.81,0,65535,0,0,0,0,0
154,385.32,25952.59,-25952.59,0,65535,0,0,0,0,0
155,385.75,25923.44,-25923.44,0,65535,0,0,0,0,0
156,386.18,25894.36,-25894.36,0,65535,35,35,0,0,0
157,386.62,25865.34,-25865.34,0,65535,37,37,0,0,0
158,387.05,25836.4,-25836.4,0,65535,0,0,0,0,0
159,387.48,25807.53,-25807.53,0,65535,0,0,0,0,0
160,387.92,25778.73,-25778.73,0,65535,39,39,0,0,0
161,388.35,25749.99,-25749.99,0,65535,0,0,0,0,0
162,388.78,25721.32,-25721.32,0,65535,0,0,0,0,0
163,389.22,25692.72,-25692.72,0,65535,25,25,0,0,0
164,389.65,25664.19,-25664.19,0,65535,41,41,0,0,0
165,390.08,25635.73,-25635.73,0,65535,0,0,0,0,0
166,390.51,25607.34,-25607.34,0,65535,0,0,0,0,0
167,390.95,25579.01,-25579.01,0,65535,0,0,0,0,0
168,391.38,25550.75,-25550.75,0,65535,0,0,0,0,0
169,391.81,25522.55,-25522.55,0,65535,0,0,0,0,0
170,392.24,25494.42,-25494.42,0,65535,0,0,0,0,0
171,392.67,25466.36,-25466.36,0,65535,0,0,0,0,0
172,393.11,25438.37,-25438.37,0,65535,33,33,0,0,0
173,393.54,25410.44,-25410.44,0,65535,0,0,0,0,0
174,393.97,25382.57,-25382.57,0,65535,33,33,0,0,0
175,394.4,25354.77,-25354.77,0,65535,0,0,0,0,0
176,394.83,25327.04,-25327.04,0,65535,0,0,0,0,0
177,395.27,25299.37,-25299.37,0,65535,0,0,0,0,0
178,395.7,25271.77,-25271.77,0,65535,0,0,0,0,0
179,396.13,25244.23,-25244.23,0,65535,0,0,0,0,0
180,396.56,25216.75,-25216.75,0,65535,7,7,0,0,0
181,396.99,25189.34,-25189.34,0,65535,0,0,0,0,0
182,397.42,25161.99,-25161.99,0,65535,37,37,0,0,0
183,397.86,25134.71,-25134.71,0,65535,0,0,0,0,0
184,398.29,25107.49,-25107.49,0,65535,17,17,0,0,0
185,398.72,25080.33,-25080.33,0,65535,0,0,0,0,0
186,399.15,25053.24,-25053.24,0,65535,0,0,0,0,0
187,399.58,25026.2,-25026.2,0,65535,0,0,0,0,0
188,400.01,24999.24,-24999.24,0,65535,0,0,0,0,0
189,400.44,24972.33,-24972.33,0,65535,0,0,0,0,0
190,400.87,24945.48,-24945.48,0,65535,0,0,0,0,0
191,401.31,24918.7,-24918.7,0,65535,0,0,0,0,0
192,401.74,24891.98,-24891.98,0,65535,31,31,0,0,0
193,402.17,24865.32,-24865.32,0,65535,0,0,0,0,0
194,402.6,24838.72,-24838.72,0,65535,3,3,0,0,0
195,403.03,24812.18,-24812.18,0,65535,0,0,0,0,0
196,403.46,24785.7,-24785.7,0,65535,3,3,0,0,0
197,403.89,24759.29,-24759.29,0,65535,19,19,0,0,0
198,404.32,24732.93,-24732.93,0,65535,0,0,0,0,0
199,404.75,24706.63,-24706.63,0,65535,9,9,0,0,0
200,405.18,24680.4,-24680.4,0,65535,0,0,0,0,0
201,405.61,24654.22,-24654.22,0,65535,0,0,0,0,0
202,406.04,24628.11,-24628.11,0,65535,0,0,0,0,0
203,406.47,24602.05,-24602.05,0,65535,0,0,0,0,0
204,406.9,24576.05,-24576.05,0,65535,5,5,0,0,0
205,407.33,24550.11,-24550.11,0,65535,0,0,0,0,0
206,407.76,24524.23,-24524.23,0,65535,0,0,0,0,0
207,408.19,24498.41,-24498.41,0,65535,0,0,0,0,0
208,408.62,24472.64,-24472.64,0,65535,1,1,0,0,0
209,409.05,24446.94,-24446.94,0,65535,0,0,0,0,0
210,409.48,24421.29,-24421.29,0,65535,0,0,0,0,0
211,409.91,24395.7,-24395.7,0,65535,27,27,0,0,0
212,410.34,24370.17,-24370.17,0,65535,1,1,0,0,0
213,410.77,24344.69,-24344.69,0,65535,0,0,0,0,0
214,411.2,24319.28,-24319.28,0,65535,0,0,0,0,0
