File Version,BWSpec4.11_1,,,,,,,,,
Run Name,,,,,,,,,,
Product Name,,,,,,,,,,
Batch No,,,,,,,,,,
Lot No,,,,,,,,,,
Sample Suppler,,,,,,,,,,
Sample Notes,,,,,,,,,,
Date,18-04-2022 16:59,,,,,,,,,
title,ZAFB,,,,,,,,,
model,BRC112P-V,,,,,,,,,
c code,ZAFB,,,,,,,,,
84,354.82,28183.2,-28183.2,0,65535,0,0,0,0,0
85,355.26,28148.46,-28148.46,0,65535,0,0,0,0,0
86,355.7,28113.81,-28113.81,0,65535,0,0,0,0,0
87,356.13,28079.24,-28079.24,0,65535,0,0,0,0,0
88,356.57,28044.77,-28044.77,0,65535,0,0,0,0,0
89,357.01,28010.38,-28010.38,0,65535,0,0,0,0,0
90,357.45,27976.09,-27976.09,0,65535,0,0,0,0,0
91,357.89,27941.88,-27941.88,0,65535,0,0,0,0,0
92,358.32,27907.77,-27907.77,0,65535,0,0,0,0,0
93,358.76,27873.74,-27873.74,0,65535,0,0,0,0,0
94,359.2,27839.8,-27839.8,0,65535,0,0,0,0,0
95,359.64,27805.95,-27805.95,0,65535,0,0,0,0,0
96,360.07,27772.18,-27772.18,0,65535,0,0,0,0,0
97,360.51,27738.5,-27738.5,0,65535,0,0,0,0,0
98,360.95,27704.91,-27704.91,0,65535,0,0,0,0,0
99,361.38,27671.41,-27671.41,0,65535,0,0,0,0,0
100,361.82,27637.99,-27637.99,0,65535,0,0,0,0,0
101,362.26,27604.66,-27604.66,0,65535,0,0,0,0,0
102,362.69,27571.41,-27571.41,0,65535,0,0,0,0,0
103,363.13,27538.25,-27538.25,0,65535,0,0,0,0,0
104,363.57,27505.17,-27505.17,0,65535,0,0,0,0,0
105,364,27472.17,-27472.17,0,65535,0,0,0,0,0
106,364.44,27439.26,-27439.26,0,65535,0,0,0,0,0
107,364.88,27406.44,-27406.44,0,65535,0,0,0,0,0
108,365.31,27373.7,-27373.7,0,65535,0,0,0,0,0
109,365.75,27341.04,-27341.04,0,65535,0,0,0,0,0
110,366.19,27308.46,-27308.46,0,65535,0,0,0,0,0
111,366.62,27275.97,-27275.97,0,65535,0,0,0,0,0
112,367.06,27243.56,-27243.56,0,65535,0,0,0,0,0
113,367.5,27211.23,-27211.23,0,65535,0,0,0,0,0
114,367.93,27178.98,-27178.98,0,65535,0,0,0,0,0
115,368.37,27146.81,-27146.81,0,65535,0,0,0,0,0
116,368.8,27114.73,-27114.73,0,65535,0,0,0,0,0
117,369.24,27082.72,-27082.72,0,65535,0,0,0,0,0
118,369.67,27050.79,-27050.79,0,65535,0,0,0,0,0
119,370.11,27018.95,-27018.95,0,65535,0,0,0,0,0
120,370.55,26987.19,-26987.19,0,65535,0,0,0,0,0
121,370.98,26955.5,-26955.5,0,65535,0,0,0,0,0
122,371.42,26923.89,-26923.89,0,65535,0,0,0,0,0
